url_path,views_total,views_unique
/aws-samples/guardduty-to-sns-mail,4,2
/aws-samples/guardduty-to-sns-mail/blob/main/app.py,3,1
/aws-samples/guardduty-to-sns-mail/blob/main/cdk.json,3,1
/aws-samples/guardduty-to-sns-mail/blob/main/guardduty-to-sns.yaml,3,1
/aws-samples/guardduty-to-sns-mail/blob/main/requirements.txt,2,1
/aws-samples/guardduty-to-sns-mail/graphs/traffic,2,1
/aws-samples/guardduty-to-sns-mail/community,1,1
/aws-samples/guardduty-to-sns-mail/forks,1,1
/aws-samples/guardduty-to-sns-mail/graphs/code-frequency,1,1
/aws-samples/guardduty-to-sns-mail/graphs/community,1,1
