url_path,views_total,views_unique
/aws-samples/guardduty-to-sns-mail,3,1
/aws-samples/guardduty-to-sns-mail/graphs/traffic,2,1
/aws-samples/guardduty-to-sns-mail/community,1,1
/aws-samples/guardduty-to-sns-mail/forks,1,1
/aws-samples/guardduty-to-sns-mail/graphs/code-frequency,1,1
/aws-samples/guardduty-to-sns-mail/graphs/community,1,1
/aws-samples/guardduty-to-sns-mail/graphs/contributors,1,1
/aws-samples/guardduty-to-sns-mail/network,1,1
/aws-samples/guardduty-to-sns-mail/network/dependencies,1,1
/aws-samples/guardduty-to-sns-mail/pulse,1,1
