url_path,views_total,views_unique
/aws-samples/guardduty-to-sns-mail/blob/main/guardduty-to-sns.yaml,14,1
/aws-samples/guardduty-to-sns-mail/tree/main,7,2
/aws-samples/guardduty-to-sns-mail/blob/main/guardduty_eb/guardduty_eb_stack.py,6,1
/aws-samples/guardduty-to-sns-mail/tree/main/architecture,5,1
/aws-samples/guardduty-to-sns-mail,4,4
/aws-samples/guardduty-to-sns-mail/blob/main/architecture/GuardDuty%20to%20SNS.png,2,1
/aws-samples/guardduty-to-sns-mail/blob/main/architecture/mail-sample.png,2,1
/aws-samples/guardduty-to-sns-mail/tree/main/guardduty_eb,2,1
